Account,Source Account,Text,Time,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
BBC News (World),-,The robots taking on your housework https://t.co/i1LCEz2ppN,2018-06-04 20:51:55-05:00,0.0,0.0,0.0,1.0,1
BBC News (World),-,Early Van Gogh landscape sells for €7m at French auction https://t.co/M7Skbpbkin,2018-06-04 20:42:45-05:00,0.0,0.0,0.0,1.0,2
BBC News (World),-,Georgia officer fired for hitting suspect with patrol car https://t.co/8aNKahkZ6H,2018-06-04 20:28:59-05:00,-0.7003,0.0,0.42,0.58,3
BBC News (World),-,Could a text message save thousands of fishermen's lives? https://t.co/mExwAf6xeB,2018-06-04 20:26:30-05:00,0.4939,0.286,0.0,0.714,4
BBC News (World),-,Henri van Breda: Axe murderer transfixes South Africa https://t.co/O1dNCMtV3L,2018-06-04 20:21:33-05:00,-0.7184,0.0,0.462,0.538,5
BBC News (World),-,Europe and nationalism: A country-by-country guide https://t.co/qmWHG9z70Y,2018-06-04 20:16:48-05:00,0.0,0.0,0.0,1.0,6
BBC News (World),-,Trump drops Philadelphia Eagles White House invite over anthem protest https://t.co/obgA2oEFfx,2018-06-04 19:48:55-05:00,-0.1027,0.127,0.159,0.714,7
BBC News (World),-,Swimmer Ben Lecomte begins record Pacific crossing attempt https://t.co/hizUqNTrJf,2018-06-04 19:33:12-05:00,0.0,0.0,0.0,1.0,8
BBC News (World),-,Guatemala volcano: Deadly Fuego eruption caught on video https://t.co/26NcA7c5TE,2018-06-04 19:01:36-05:00,0.0,0.0,0.0,1.0,9
BBC News (World),-,Pakistan's soaring rates of 'diabetic foot' https://t.co/0wuN4VOWCK,2018-06-04 18:59:22-05:00,0.0,0.0,0.0,1.0,10
BBC News (World),-,Is Kyary Pamyu Pamyu Japan's Lady Gaga? https://t.co/wiwhaLi2hw,2018-06-04 18:43:23-05:00,0.0,0.0,0.0,1.0,11
BBC News (World),-,Qatar cash and cows help buck Gulf boycott https://t.co/84PpHofoEx,2018-06-04 18:24:51-05:00,0.1027,0.225,0.192,0.583,12
BBC News (World),-,Robert Kennedy: What if US presidential hopeful had not been killed? https://t.co/hwBXdc9ZGy,2018-06-04 18:08:49-05:00,0.7839,0.408,0.0,0.592,13
BBC News (World),-,Why do we love to dance with each other? https://t.co/j7k19CeLYz,2018-06-04 18:08:49-05:00,0.6369,0.318,0.0,0.682,14
BBC News (World),-,Are presidential pardons Trump's secret weapon? https://t.co/yBq5C9ams2,2018-06-04 18:06:29-05:00,0.0,0.234,0.234,0.532,15
BBC News (World),-,Ron Rockwell Hansen: US arrests man for trying to spy for China https://t.co/Iw8IlxeL6B,2018-06-04 17:10:13-05:00,-0.4404,0.0,0.195,0.805,16
BBC News (World),-,Putin says Russia not aiming to divide EU https://t.co/pIr83FStfl,2018-06-04 16:51:42-05:00,0.0,0.0,0.0,1.0,17
BBC News (World),-,Apple jams Facebook's web-tracking tools https://t.co/G0AsTYigTw,2018-06-04 16:25:57-05:00,0.0,0.0,0.0,1.0,18
BBC News (World),-,Starbucks boss leaves firm after 36 years https://t.co/KcUakTkvFd,2018-06-04 16:21:20-05:00,0.0,0.0,0.0,1.0,19
BBC News (World),-,Dinosaur skeleton sold to private buyer for €1.6m at Paris auction https://t.co/ereUQ8ooxf,2018-06-04 16:06:55-05:00,0.0,0.0,0.0,1.0,20
BBC News (World),-,Guatemala Fuego: Search after deadly volcano eruption https://t.co/s6CY92KccW,2018-06-04 16:04:15-05:00,0.0,0.0,0.0,1.0,21
BBC News (World),-,Maine man killed in hit-and-run ran over a girl in 1968 https://t.co/isZY3dMWkr,2018-06-04 14:16:00-05:00,-0.6705,0.0,0.31,0.69,22
BBC News (World),-,Russia puts a smile on Kim Jong-un's face https://t.co/CmvaJ3ijnC,2018-06-04 13:59:41-05:00,0.3612,0.263,0.0,0.737,23
BBC News (World),-,Denmark backs fence on German border to keep out wild boar https://t.co/3Zf8IeXahF,2018-06-04 13:59:41-05:00,-0.0516,0.0,0.098,0.902,24
BBC News (World),-,Tunisia migrant shipwreck death toll reaches 112 https://t.co/Rnj6nvZOe5,2018-06-04 13:47:47-05:00,-0.5719,0.108,0.351,0.541,25
BBC News (World),-,Italians shocked by man's selfie after train accident in Piacenza https://t.co/BpE2CVICYE,2018-06-04 11:32:02-05:00,-0.6597,0.0,0.375,0.625,26
BBC News (World),-,'Remarkable' therapy beats terminal breast cancer https://t.co/E21jrB3cvI,2018-06-04 11:07:02-05:00,-0.6597,0.0,0.423,0.577,27
BBC News (World),-,Bill Clinton: 'Monica Lewinsky affair was dealt with correctly' https://t.co/af8osnTCU5,2018-06-04 10:23:48-05:00,0.0,0.0,0.0,1.0,28
BBC News (World),-,Salah tackle turns up in Syrian law school exam https://t.co/i1u6fy1OG8,2018-06-04 10:09:54-05:00,0.0,0.0,0.0,1.0,29
